idTime,nomeTime,formacao,vezesJogadas
127,Flamengo,4-2-3-1,25
127,Flamengo,4-1-4-1,3
127,Flamengo,4-4-2,3
127,Flamengo,4-2-2-2,3
127,Flamengo,4-1-3-2,2
128,Santos,4-3-3,24
128,Santos,3-4-3,9
128,Santos,3-4-1-2,1
128,Santos,3-5-2,1
128,Santos,3-2-4-1,1
121,Palmeiras,4-2-3-1,34
121,Palmeiras,4-1-4-1,1
121,Palmeiras,4-2-2-2,1
130,Gremio,4-2-3-1,33
130,Gremio,4-2-2-2,1
130,Gremio,4-4-1-1,1
134,Atletico Paranaense,4-2-3-1,15
134,Atletico Paranaense,4-1-4-1,7
134,Atletico Paranaense,4-3-3,7
134,Atletico Paranaense,4-4-2,3
126,Sao Paulo,4-2-3-1,18
126,Sao Paulo,4-1-4-1,14
126,Sao Paulo,4-3-3,4
119,Internacional,4-3-3,19
119,Internacional,4-2-3-1,13
119,Internacional,4-1-4-1,3
131,Corinthians,4-1-4-1,29
131,Corinthians,4-2-3-1,3
131,Corinthians,4-4-2,2
131,Corinthians,4-4-1-1,2
131,Corinthians,4-3-1-2,1
151,Goias,4-2-3-1,18
151,Goias,4-3-3,9
151,Goias,4-4-1-1,3
151,Goias,4-1-4-1,3
151,Goias,4-4-2,2
154,Fortaleza EC,4-2-3-1,21
154,Fortaleza EC,4-4-2,11
154,Fortaleza EC,4-4-1-1,3
154,Fortaleza EC,4-2-2-2,1
154,Fortaleza EC,4-3-3,1
133,Vasco DA Gama,4-2-3-1,17
133,Vasco DA Gama,4-3-3,10
133,Vasco DA Gama,4-1-4-1,5
133,Vasco DA Gama,4-3-1-2,2
133,Vasco DA Gama,3-5-2,1
133,Vasco DA Gama,3-4-3,1
133,Vasco DA Gama,4-4-2,1
133,Vasco DA Gama,4-2-4,1
118,Bahia,4-3-3,21
118,Bahia,4-2-3-1,9
118,Bahia,4-1-4-1,5
118,Bahia,4-4-2,1
124,Fluminense,4-1-4-1,17
124,Fluminense,4-2-3-1,8
124,Fluminense,4-3-3,5
124,Fluminense,4-4-1-1,5
124,Fluminense,4-2-4,1
124,Fluminense,4-3-1-2,1
1062,Atletico-MG,4-2-3-1,21
1062,Atletico-MG,4-1-4-1,12
1062,Atletico-MG,5-4-1,2
1062,Atletico-MG,4-3-3,1
120,Botafogo,4-1-4-1,22
120,Botafogo,4-2-3-1,9
120,Botafogo,4-3-3,2
120,Botafogo,4-3-1-2,2
129,Ceara,4-2-3-1,19
129,Ceara,4-4-2,8
129,Ceara,4-1-4-1,5
129,Ceara,4-2-4,1
129,Ceara,4-4-1-1,1
129,Ceara,4-3-1-2,1
129,Ceara,3-4-2-1,1
129,Ceara,4-5-1,1
135,Cruzeiro,4-2-3-1,27
135,Cruzeiro,4-1-4-1,4
135,Cruzeiro,4-3-3,3
135,Cruzeiro,4-4-2,2
150,CSA,4-2-3-1,25
150,CSA,4-2-2-2,5
150,CSA,4-3-1-2,2
150,CSA,4-1-4-1,2
150,CSA,4-4-2,1
150,CSA,4-3-3,1
132,Chapecoense-sc,4-2-3-1,16
132,Chapecoense-sc,4-1-4-1,13
132,Chapecoense-sc,4-4-1-1,4
132,Chapecoense-sc,5-4-1,2
132,Chapecoense-sc,4-4-2,1
132,Chapecoense-sc,4-2-4,1
132,Chapecoense-sc,4-5-1,1
145,Avai,4-3-3,14
145,Avai,4-1-4-1,10
145,Avai,4-2-3-1,5
145,Avai,5-3-2,2
145,Avai,4-5-1,2
145,Avai,5-4-1,2
145,Avai,4-4-2,2
145,Avai,3-4-2-1,1
